activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1421468,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.45', 'le': '0.23', 'lle': '1.23', 'sei': '7.05'}",CHEMBL178397,,CHEMBL178397,6.12,True,http://www.openphacts.org/units/Nanomolar,365307,=,1,True,=,,IC50,nM,,760.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,760.0
,1421471,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178468,,CHEMBL178468,,False,http://www.openphacts.org/units/Nanomolar,365311,>,1,True,>,,IC50,nM,,20000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,20000.0
,1421867,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.61', 'le': '0.23', 'lle': '-1.02', 'sei': '11.88'}",CHEMBL359864,,CHEMBL359864,6.44,False,http://www.openphacts.org/units/Nanomolar,365316,=,1,True,=,,IC50,nM,,365.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,365.0
,1421870,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3cc4ccccc4nc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.78', 'le': '0.19', 'lle': '-1.96', 'sei': '10.16'}",CHEMBL178349,,CHEMBL178349,5.50,False,http://www.openphacts.org/units/Nanomolar,365322,=,1,True,=,,IC50,nM,,3136.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,3136.0
,1421873,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.60', 'le': '0.23', 'lle': '0.35', 'sei': '7.87'}",CHEMBL255212,,CHEMBL255212,6.12,False,http://www.openphacts.org/units/Nanomolar,365242,=,1,True,=,,IC50,nM,,762.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,762.0
,1421876,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cnc(-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)c(-c2ccccc2)c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.82', 'le': '0.24', 'lle': '-0.21', 'sei': '7.91'}",CHEMBL360333,,CHEMBL360333,5.89,False,http://www.openphacts.org/units/Nanomolar,365248,=,1,True,=,,IC50,nM,,1288.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,1288.0
,1421879,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5cc(F)ccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.43', 'le': '0.22', 'lle': '-0.62', 'sei': '8.84'}",CHEMBL368010,,CHEMBL368010,6.06,False,http://www.openphacts.org/units/Nanomolar,365253,=,1,True,=,,IC50,nM,,865.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,865.0
,1421885,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(C#N)cc5-c5ccccc5)cc4)CC3)nc2c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '11.46', 'le': '0.20', 'lle': '-1.31', 'sei': '8.08'}",CHEMBL181927,,CHEMBL181927,5.54,False,http://www.openphacts.org/units/Nanomolar,365264,=,1,True,=,,IC50,nM,,2874.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,2874.0
,1421888,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.42', 'le': '0.22', 'lle': '-0.71', 'sei': '8.50'}",CHEMBL369094,,CHEMBL369094,5.83,False,http://www.openphacts.org/units/Nanomolar,365269,=,1,True,=,,IC50,nM,,1471.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,1471.0
,1421993,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1cnc(-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)c(-c2ccccc2)c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '11.41', 'le': '0.20', 'lle': '-1.11', 'sei': '9.28'}",CHEMBL361391,,CHEMBL361391,5.36,False,http://www.openphacts.org/units/Nanomolar,365275,=,1,True,=,,IC50,nM,,4397.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,4397.0
,1421996,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3ncc(C#N)cc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.61', 'le': '0.19', 'lle': '-1.65', 'sei': '8.89'}",CHEMBL425338,,CHEMBL425338,5.13,False,http://www.openphacts.org/units/Nanomolar,365279,=,1,True,=,,IC50,nM,,7407.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,7407.0
,1421999,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nnn[nH]4)cc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.42', 'le': '0.22', 'lle': '1.48', 'sei': '6.06'}",CHEMBL270847,,CHEMBL270847,6.56,False,http://www.openphacts.org/units/Nanomolar,365284,=,1,True,=,,IC50,nM,,273.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,273.0
,1422002,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)cc1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '13.43', 'le': '0.25', 'lle': '1.35', 'sei': '6.42'}",CHEMBL425155,,CHEMBL425155,6.75,False,http://www.openphacts.org/units/Nanomolar,365290,=,1,True,=,,IC50,nM,,177.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,177.0
,1422005,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Fc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.48', 'le': '0.23', 'lle': '0.63', 'sei': '6.67'}",CHEMBL181730,,CHEMBL181730,6.62,False,http://www.openphacts.org/units/Nanomolar,365296,=,1,True,=,,IC50,nM,,239.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,239.0
,1422008,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '11.62', 'le': '0.21', 'lle': '-0.04', 'sei': '6.16'}",CHEMBL367601,,CHEMBL367601,6.12,False,http://www.openphacts.org/units/Nanomolar,365302,=,1,True,=,,IC50,nM,,763.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,763.0
,1422400,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)cc1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.69', 'le': '0.19', 'lle': '-0.37', 'sei': '5.52'}",CHEMBL178872,,CHEMBL178872,5.48,False,http://www.openphacts.org/units/Nanomolar,365308,=,1,True,=,,IC50,nM,,3323.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,3323.0
,1422403,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)cc1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.48', 'le': '0.19', 'lle': '-0.41', 'sei': '6.08'}",CHEMBL178445,,CHEMBL178445,5.37,False,http://www.openphacts.org/units/Nanomolar,365312,=,1,True,=,,IC50,nM,,4237.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,4237.0
,1422409,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nn[nH]n4)cc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '9.80', 'le': '0.18', 'lle': '-0.93', 'sei': '5.84'}",CHEMBL369532,,CHEMBL369532,5.16,False,http://www.openphacts.org/units/Nanomolar,365323,=,1,True,=,,IC50,nM,,6915.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,6915.0
,1422412,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1nnnc1-c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '10.60', 'le': '0.19', 'lle': '0.66', 'sei': '5.90'}",CHEMBL182101,,CHEMBL182101,5.75,False,http://www.openphacts.org/units/Nanomolar,365324,=,1,True,=,,IC50,nM,,1772.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,1772.0
,1429965,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(N)c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '16.11', 'le': '0.29', 'lle': '0.31', 'sei': '10.56'}",CHEMBL362455,,CHEMBL362455,5.47,True,http://www.openphacts.org/units/Nanomolar,368121,=,1,True,=,,IC50,nM,,3400.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,3400.0
,1429968,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.78', 'le': '0.23', 'lle': '-0.32', 'sei': '9.75'}",CHEMBL260397,,CHEMBL260397,6.54,True,http://www.openphacts.org/units/Nanomolar,368125,=,1,True,=,,IC50,nM,,290.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,290.0
,1429971,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '11.56', 'le': '0.21', 'lle': '0.94', 'sei': '6.36'}",CHEMBL440560,,CHEMBL440560,5.52,True,http://www.openphacts.org/units/Nanomolar,368129,=,1,True,=,,IC50,nM,,3029.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,3029.0
,1430075,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cnc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.19', 'le': '0.22', 'lle': '1.24', 'sei': '6.71'}",CHEMBL577792,,CHEMBL577792,5.82,True,http://www.openphacts.org/units/Nanomolar,368045,=,1,True,=,,IC50,nM,,1500.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,1500.0
,1430079,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.45', 'le': '0.23', 'lle': '1.23', 'sei': '7.05'}",CHEMBL178397,,CHEMBL178397,6.12,True,http://www.openphacts.org/units/Nanomolar,368050,=,1,True,=,,IC50,nM,,760.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,760.0
,1430082,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.20', 'le': '0.22', 'lle': '1.11', 'sei': '6.91'}",CHEMBL572629,,CHEMBL572629,6.00,True,http://www.openphacts.org/units/Nanomolar,368055,=,1,True,=,,IC50,nM,,1003.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,1003.0
,1430085,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,Oc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1Cc1ccccc1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '8.40', 'le': '0.15', 'lle': '-2.23', 'sei': '5.46'}",CHEMBL180580,,CHEMBL180580,4.77,False,http://www.openphacts.org/units/Nanomolar,368056,=,1,True,=,,IC50,nM,,17000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,17000.0
,1430088,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,O=c1[nH]c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)nc1Cc1ccccc1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL3143722,,CHEMBL3143722,,False,http://www.openphacts.org/units/Nanomolar,368057,>,1,True,>,,IC50,nM,,50000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,50000.0
,1430091,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,O=c1[nH]c(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cc1ccc(O)cc1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '7.99', 'le': '0.14', 'lle': '-1.22', 'sei': '4.36'}",CHEMBL178133,,CHEMBL178133,4.66,True,http://www.openphacts.org/units/Nanomolar,368061,=,1,True,=,,IC50,nM,,21670.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,21670.0
,1430094,[],CHEMBL832603,"Inhibitory concentration against human Protein kinase B, alpha ",B,,,BAO_0000190,BAO_0000357,single protein format,O=c1[nH]c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)nc1Cc1ccc(O)cc1,,,CHEMBL1141888,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL3143723,,CHEMBL3143723,,False,http://www.openphacts.org/units/Nanomolar,368062,>,1,True,>,,IC50,nM,,50000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,50000.0
